,issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,created.1,assigned.1,summary,description,affected_version,fixed_version,votes,watches,description_words,assingnee_count,comment_count,commenter,Surprising,Dormant,Blocker,Security,Performance,Breakage,commit_count,file_count,files
0,12,Improvement,Resolved,Fixed,   ,Major,Eric Yang,2011/09/26 23:42:56 +0100,2011/09/26 23:42:56 +0100,Eric Yang,2011/09/26 23:44:36 +0100,0.001157407,0.001157407,"['add', 'addit', 'transit', 'state']","['run', 'server', 'daemon', 'current', 'state', 'start', 'start', 'would', 'nice', 'transit', 'state', 'start', 'stop']",0.1.0,0.1.0,0,0,23,1,1,1,0,0,0,0,0,0,0,0,
1,46,Improvement,Resolved,Fixed,ambari-agent   ,Major,Eric Yang,2011/10/07 21:49:04 +0100,2011/10/07 21:49:04 +0100,Eric Yang,2011/10/07 21:50:48 +0100,0.0012037039999999999,0.001203704,"['preserv', 'cluster', 'id', 'blueprint', 'name', 'blueprint', 'revis', 'agent', 'local', 'disk']","['agent', 'execut', 'command', 'behav', 'control', 'agent', 'store', 'cluster', 'id', 'blueprint', 'name', 'blueprint', 'revis', 'local', 'disk', 'keep', 'track', 'current', 'deploy', 'state', 'agent']",0.1.0,0.1.0,0,0,34,1,1,1,0,0,0,0,0,0,0,0,
2,199,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/09 22:05:24 +0100,2012/05/09 22:05:24 +0100,Jitendra Nath Pandey,2012/05/09 23:20:11 +0100,0.05193287,0.05193287,"['remov', 'import', 'mysql', 'puppet', 'modul', 'manifest']","['remov', 'import', 'mysql', 'puppet', 'modul', 'manifest', 'modul', 'deprec']",0.9.0,0.9.0,0,0,13,1,1,1,1,0,0,0,0,0,1,2,CHANGES.txt;hmc/php/puppet/genmanifest/generateManifest.php;
3,217,Bug,Resolved,Fixed,   ,Major,vitthal (Suhas) Gogate,2012/05/10 22:41:47 +0100,2012/05/10 22:41:47 +0100,vitthal (Suhas) Gogate,2012/05/11 17:13:23 +0100,0.7719444440000001,0.771944444,"['alert', 'tabl', 'right', 'need', 'tie', 'visual', 'verbal', 'context', 'content', 'display']","['current', 'dashboard', 'servic', 'entri', 'click', 'right', 'side', 'alert', 'tabl', 'caption', 'indic', 'show', 'alert', 'relat', 'servic', 'cpation', 'tabl', 'chang', 'indic', 'correspond', 'servic', 'name']",0.9.0,0.9.0,0,0,37,1,2,2,1,0,0,0,0,0,0,0,
4,222,Bug,Resolved,Fixed,   ,Major,vitthal (Suhas) Gogate,2012/05/11 01:10:46 +0100,2012/05/11 01:10:46 +0100,vitthal (Suhas) Gogate,2012/05/15 02:11:31 +0100,4.0421875,4.0421875,"['remov', 'word', 'alert', 'nagio', 'alert', 'descript']","['sort', 'redund']",0.9.0,0.9.0,0,1,6,1,1,1,1,0,0,0,0,0,0,0,
5,226,Bug,Resolved,Fixed,   ,Minor,Suresh Srinivas,2012/05/11 18:29:32 +0100,null,Unassigned,2012/05/15 03:31:24 +0100,3.376296296,null,"['make', 'daemon', 'name', 'field', 'name', 'consist']","['follow', 'name', 'need', 'consist', 'hdfs', 'gt', 'hdfs', 'mapreduc', 'gt', 'mapreduc', 'zookeep', 'gt', 'zookeep', 'hadoop', 'gt', 'hadoop']",0.9.0,0.9.0,0,1,20,0,1,1,1,0,0,0,0,0,0,0,
6,237,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/12 18:16:26 +0100,2012/05/12 18:16:26 +0100,Jitendra Nath Pandey,2012/05/16 07:36:09 +0100,3.555358796,3.555358796,"['refactor', 'puppet', 'kick', 'loop', 'easili', 'chang', 'retri', 'timeout']","['refactor', 'puppet', 'kick', 'loop', 'easili', 'chang', 'retri', 'timeout']",0.9.0,0.9.0,0,1,10,1,1,1,0,0,0,0,1,0,0,0,
7,245,Bug,Resolved,Fixed,ambari-server   ,Major,Jitendra Nath Pandey,2012/05/15 00:52:33 +0100,2012/05/15 00:52:33 +0100,Jitendra Nath Pandey,2012/05/17 21:00:13 +0100,2.838657407,2.838657407,"['support', 'data', 'cleanup', 'instal', 'fail']","['need', 'support', 'data', 'cleanup', 'cluster', 'instal', 'case', 'failur']",0.9.0,0.9.0,0,2,17,1,1,1,0,0,0,0,0,0,0,0,
8,247,Bug,Resolved,Fixed,   ,Major,Varun Kapoor,2012/05/15 02:13:48 +0100,2012/05/15 02:13:48 +0100,Varun Kapoor,2012/06/05 23:47:38 +0100,21.89849537,21.89849537,"['replac', 'index', 'php', 'cluster', 'php']","['like', 'titl', 'say', 'overwrit', 'index', 'php', 'content', 'cluster', 'php', 'make', 'sure', 'add', 'link', 'addnodeswizard', 'well']",0.9.0,0.9.0,0,2,22,1,1,1,0,0,0,0,0,0,0,0,
9,253,Bug,Resolved,Fixed,   ,Major,Ramya Sunil,2012/05/15 21:32:31 +0100,2012/05/15 21:32:31 +0100,Ramya Sunil,2012/05/17 20:58:51 +0100,1.97662037,1.97662037,"['support', 'uninstal', 'state', 'mysql', 'modul']","['current', 'support', 'uninstal', 'mysql', 'packag']",0.9.0,0.9.0,0,1,10,1,2,1,0,0,0,0,0,0,0,0,
