issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved,created.1,assigned.1,summary,description,affected_version,fixed_version,votes,watches,description_words,assingnee_count,comment_count,commenter,Surprising,Dormant,Blocker,Security,Performance,Breakage,commit_count,file_count,files
91,Improvement,Closed,Fixed,wicket,Trivial,Dmitry Kandalov,2006/11/18 13:50:59 +0100,null,Unassigned,2006/11/18 21:18:13 +0100,0.310578704,null,"['russian', 'applic', 'properti']",[],2.0 branch (discontinued); 1.3.0-beta1,,0,0,1,0,2,2,0,0,0,0,0.0,0,2,2,wicket/src/main/java/wicket/Application_ru.properties;wicket/src/main/java/wicket/Application_ru.properties;
159,Improvement,Resolved,Fixed,,Major,Eelco Hillenius,2006/12/11 07:27:17 +0100,2006/12/11 07:27:17 +0100,Eelco Hillenius,2006/12/11 07:31:37 +0100,0.0030092590000000002,0.003009259,"['default', 'code', 'popup', 'alway', 'tri', 'bring', 'pop', 'window', 'top', 'focus']","['default', 'implement', 'popup', 'script', 'generat', 'popupset', 'alway', 'tri', 'focus', 'pop', 'window']",1.2.3,2.0 branch (discontinued); 1.3.0-beta1,0,0,20,1,1,1,0,0,0,0,0.0,0,2,2,wicket/src/main/java/wicket/markup/html/link/PopupSettings.java;wicket/src/main/java/wicket/markup/html/link/PopupSettings.java;
323,Bug,Resolved,Fixed,wicket-extensions,Minor,Jason Schnitzer,2007/02/25 06:13:44 +0100,2007/06/10 22:52:14 +0100,Alastair Maw,2007/06/10 22:54:02 +0100,105.6946528,0.00125,"['ajaxeditablelabel', 'setmodel', 'updat', 'label', 'model', 'editor']","['ajaxeditablelabel', 'perform', 'setmodel', 'go', 'ahead', 'updat', 'under', 'model', 'editor', 'howev', 'updat', 'under', 'model', 'label']",1.3.0-beta1,1.3.0-beta2,0,0,30,1,2,2,1,0,0,0,0.0,0,1,1,jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/AjaxEditableLabel.java;
394,Improvement,Resolved,Fixed,wicket,Minor,Vincent Demay,2007/03/15 18:35:03 +0100,2007/07/31 09:41:21 +0100,Jean-Baptiste Quenot,2007/07/31 09:41:53 +0100,137.62974540000002,3.70E-04,"['patch', 'serial', 'choic', 'select', 'palett']","['take', 'long', 'useless', 'time']",1.3.0-beta1,1.3.0-beta2; 1.3.0-beta3,0,0,7,1,4,3,0,0,0,0,0.0,0,2,3,jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/form/palette/component/AbstractOptions.java;jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/markup/html/form/palette/component/AbstractOptions.java;jdk-1.4/wicket/src/main/java/org/apache/wicket/ajax/wicket-ajax.js;
518,Improvement,Resolved,Fixed,wicket,Major,Eelco Hillenius,2007/04/30 09:49:02 +0100,2007/04/30 09:49:02 +0100,Eelco Hillenius,2007/04/30 11:08:37 +0100,0.055266204000000006,0.055266204,"['chang', 'name', 'iformprocessinglisten']",['see'],1.3.0-beta1,1.3.0-beta1,0,0,5,1,3,1,1,0,0,0,0.0,0,1,5,jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/form/Form.java;jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/form/FormComponent.java;jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/form/IFormProcessingListener.java;jdk-1.4/wicket/src/main/java/org/apache/wicket/markup/html/form/IFormVisitorParticipant.java;jdk-1.4/wicket/src/test/java/org/apache/wicket/markup/html/form/FormTest.java;
550,Bug,Resolved,Fixed,wicket,Major,Jean-Baptiste Quenot,2007/05/09 22:31:57 +0100,null,Unassigned,2008/10/31 00:53:30 +0100,540.0982986,null,"['use', 'webrequestencod', 'everywher', 'queri', 'string', 'construct']",[],1.3.0-beta1,1.4-RC1,0,0,1,0,5,4,1,0,0,0,0.0,0,1,1,wicket/src/main/java/org/apache/wicket/RequestCycle.java;
805,Improvement,Resolved,Fixed,wicket,Minor,Sean Sullivan,2007/07/30 20:25:28 +0100,2007/07/31 16:54:04 +0100,Alastair Maw,2007/08/01 09:56:53 +0100,1.5634837959999999,0.710289352,"['upgrad', 'slf', 'j', 'version']","['slf', 'j', 'releas', 'juli', 'upgrad', 'slf', 'j', 'maven', 'pom']",1.3.0-beta2,1.3.0-beta3,0,0,15,1,1,1,0,0,0,0,0.0,0,1,1,pom.xml;
1070,Improvement,Closed,Fixed,wicket-extensions,Trivial,Frank Bille Jensen,2007/10/13 13:04:44 +0100,2007/10/13 13:04:44 +0100,Frank Bille Jensen,2007/10/13 13:14:53 +0100,0.007048611,0.007048611,"['miss', 'img', 'alt', 'attribut', 'wicketajaxindicatorappend']",[],1.3.0-beta4,1.3.0-rc1,0,0,1,1,1,1,0,0,0,0,0.0,0,1,1,jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/WicketAjaxIndicatorAppender.java;
1208,Improvement,Resolved,Fixed,wicket-datetime,Major,Gerolf Seitz,2007/12/06 03:17:37 +0100,null,Unassigned,2007/12/15 02:15:47 +0100,8.957060185,null,"['upgrad', 'yui']","['yui', 'updat', 'version', 'along', 'releas', 'signific', 'chang', 'yui', 'calendar', 'calendarnavig', 'yui', 'loader', 'calendarnavig', 'replac', 'current', 'custom', 'self', 'maintain', 'month', 'year', 'select']",1.3.0-rc1,1.3.0-final,0,0,30,1,1,1,0,0,0,0,0.0,0,3,22,jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/YuiLib.java;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.java;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.js;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/assets/callt.gif;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/assets/calrt.gif;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/assets/calx.gif;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/assets/skins/sam/calendar.css;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/assets/wicket-calendar.css;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/calendar.js;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/wicket-date.js;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/dom/dom.js;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/event/event.js;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/yahoo/yahoo.js;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/yuiloader-beta.js;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/YuiLib.java;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.java;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.js;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/calendar-min.js;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/yahoo-dom-event/yahoo-dom-event.js;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/yuiloader-beta-min.js;jdk-1.4/wicket-datetime/src/test/java/org/apache/wicket/util/license/ApacheLicenceHeaderTest.java;jdk-1.4/wicket-datetime/src/main/java/org/apache/wicket/extensions/yui/calendar/DatePicker.java;
1462,Bug,Resolved,Fixed,wicket,Major,Matej Knopp,2008/03/29 22:11:42 +0100,2008/03/29 22:11:42 +0100,Matej Knopp,2008/03/29 23:03:51 +0100,0.036215278,0.036215278,"['problem', 'ajax', 'form', 'submiss', 'insid', 'model', 'window', 'ie', 'safari']",[],1.3.2,1.3.3,0,0,1,1,0,0,0,0,0,0,0.0,0,2,2,jdk-1.4/wicket-extensions/src/main/java/org/apache/wicket/extensions/ajax/markup/html/modal/res/modal.js;jdk-1.4/wicket/src/main/java/org/apache/wicket/ajax/wicket-ajax.js;
